topics,subject,object,label
zero forcing; zero-forcing,zero forcing,zero-forcing,2
owl; web ontology language,owl,web ontology language,2
mobile robotics; mobile robotic,mobile robotics,mobile robotic,2
improved particle swarm optimization algorithms; pso,improved particle swarm optimization algorithms,pso,1
natural language processing; cross-language information retrieval,natural language processing,cross-language information retrieval,0
wireless telecommunication systems; multicasts,wireless telecommunication systems,multicasts,0
2d video; fluid models,2d video,fluid models,3
fuzzy c-means clustering algorithms; fuzzy c-means clustering,fuzzy c-means clustering algorithms,fuzzy c-means clustering,2
privacy; decision support systems,privacy,decision support systems,3
forecasting models; machine learning methods,forecasting models,machine learning methods,1
svm classification; svm,svm classification,svm,2
antennas; diversity gains,antennas,diversity gains,0
peer-to-peer system; peer-to-peer streaming,peer-to-peer system,peer-to-peer streaming,0
distributed system; feature modeling,distributed system,feature modeling,3
weak learner; boosting algorithm,weak learner,boosting algorithm,1
association rule; commonsense knowledge,association rule,commonsense knowledge,3
support vector; support vector machine (svms),support vector,support vector machine (svms),1
computer systems programming; distributed systems,computer systems programming,distributed systems,3
svm classifiers; support vector machine,svm classifiers,support vector machine,1
minimum mean square errors (mmse); cluster centers,minimum mean square errors (mmse),cluster centers,3
k-nn algorithm; nearest neighbor classification,k-nn algorithm,nearest neighbor classification,0
radial basis function(rbf); rbf networks,radial basis function(rbf),rbf networks,0
neuro-fuzzy system; neuro-fuzzy network,neuro-fuzzy system,neuro-fuzzy network,0
computer system; direction finding systems,computer system,direction finding systems,0
theoretical computer science; computational time,theoretical computer science,computational time,0
microblogging; microblog,microblogging,microblog,2
line detection; lane markings,line detection,lane markings,0
hierarchical structure; hierarchical system,hierarchical structure,hierarchical system,1
rnn; echo state network,rnn,echo state network,0
radial basis function neural network; radial basis function(rbf),radial basis function neural network,radial basis function(rbf),2
extensible markup language; world wide web,extensible markup language,world wide web,1
adaptive filters; adaptive filter,adaptive filters,adaptive filter,2
distributed computer systems; p2p system,distributed computer systems,p2p system,0
common sense knowledge; commonsense computing,common sense knowledge,commonsense computing,1
natural sciences computing; penalty function,natural sciences computing,penalty function,3
p2p network; bittorrent,p2p network,bittorrent,0
robotic manipulator; parallel mechanism,robotic manipulator,parallel mechanism,0
automatic tracking; people tracking,automatic tracking,people tracking,0
computer systems; time-delay system,computer systems,time-delay system,0
natural language processing; named entity,natural language processing,named entity,0
biofeedback; bioinformatics,biofeedback,bioinformatics,1
records management; electronic health record (ehr),records management,electronic health record (ehr),0
network life-time; sleep scheduling,network life-time,sleep scheduling,0
dynamic optimization problems; pso,dynamic optimization problems,pso,1
nlp; n-gram language models,nlp,n-gram language models,0
video processing; video servers,video processing,video servers,0
software development process; software development projects,software development process,software development projects,2
antenna; frequency bands,antenna,frequency bands,0
sensor; inertial navigation,sensor,inertial navigation,0
network life-time; next-hop,network life-time,next-hop,0
remove noise; dependency parsing,remove noise,dependency parsing,3
pid control; proportional integral controllers,pid control,proportional integral controllers,0
modeling language; hardware-in-the-loop simulation,modeling language,hardware-in-the-loop simulation,3
computational costs; computational efficiency,computational costs,computational efficiency,2
synsets; nlp,synsets,nlp,1
internet protocol; hypertext transfer protocol (http),internet protocol,hypertext transfer protocol (http),0
optical access networks; optical access network,optical access networks,optical access network,2
force feedback; haptic device,force feedback,haptic device,1
back-propagation neural networks; neural network model,back-propagation neural networks,neural network model,2
architecture reconstruction; continuous phase modulation,architecture reconstruction,continuous phase modulation,3
secrecy capacity; consistency-checking,secrecy capacity,consistency-checking,3
neural networks; hopfield networks,neural networks,hopfield networks,0
semantic web technology; semantic web technologies,semantic web technology,semantic web technologies,2
electronic publishing; ls-svm,electronic publishing,ls-svm,3
fcm clustering; fuzzy c mean,fcm clustering,fuzzy c mean,2
ocdma; frequent items,ocdma,frequent items,3
intelligent robots; requirements traceability,intelligent robots,requirements traceability,3
formal verifications; formal verification,formal verifications,formal verification,2
adaptive neuro-fuzzy inference system; back-propagation neural network,adaptive neuro-fuzzy inference system,back-propagation neural network,1
software development methodologies; software development life cycle,software development methodologies,software development life cycle,1
computing with words; architectural language,computing with words,architectural language,3
user interface; 3d user interface,user interface,3d user interface,0
cellular neural networks; back propagation neural networks,cellular neural networks,back propagation neural networks,1
lifetime maximization; wsn,lifetime maximization,wsn,1
set-point tracking; pid controller,set-point tracking,pid controller,1
systems on chips; programmable logic controller,systems on chips,programmable logic controller,1
neural network; telecommunications industry,neural network,telecommunications industry,3
space time block codes; space time block code,space time block codes,space time block code,2
wireless communications; computer networks,wireless communications,computer networks,1
blockchain; cryptography,blockchain,cryptography,1
object recognition; architecture documentation,object recognition,architecture documentation,3
architecture assessment; architecture analysis,architecture assessment,architecture analysis,0
data warehouse; common-sense knowledge,data warehouse,common-sense knowledge,3
computing systems; ship detection,computing systems,ship detection,3
active pixel sensor; sensor,active pixel sensor,sensor,1
client-server; software architecture patterns,client-server,software architecture patterns,1
network life-time; heterogeneous wireless sensor networks,network life-time,heterogeneous wireless sensor networks,0
3rd generation partnership project (3gpp); training algorithm,3rd generation partnership project (3gpp),training algorithm,3
unequal error protection; unequal error protections,unequal error protection,unequal error protections,2
cooperative diversity; sensor systems,cooperative diversity,sensor systems,3
personalizations; robotic arms,personalizations,robotic arms,3
cluster validity; robot path planning,cluster validity,robot path planning,3
sub-band; discrete wavelet transform,sub-band,discrete wavelet transform,1
fcm clustering; clustering,fcm clustering,clustering,1
embedded system; multiplying circuits,embedded system,multiplying circuits,3
built-in self test; least square support vector machine,built-in self test,least square support vector machine,3
extensible stylesheet language; extensible markup language,extensible stylesheet language,extensible markup language,1
brain computer interface (bci); structure-learning,brain computer interface (bci),structure-learning,3
infra-red sensor; classifier,infra-red sensor,classifier,3
software architecture patterns; microkernel,software architecture patterns,microkernel,0
multi-objective differential evolutions; multi-objective optimizations,multi-objective differential evolutions,multi-objective optimizations,1
semantic web technology; web ontology language,semantic web technology,web ontology language,0
formal specifications; z formal specification,formal specifications,z formal specification,0
avatars; smart sensor,avatars,smart sensor,3
wireless telecommunication systems; orthogonal frequency-division multiplexing (ofdm),wireless telecommunication systems,orthogonal frequency-division multiplexing (ofdm),0
conditional random fields; conditional random field,conditional random fields,conditional random field,2
fuzzy neural networks; ebooks,fuzzy neural networks,ebooks,3
mutual authentication; radio frequency identification technology,mutual authentication,radio frequency identification technology,1
relational database systems; functional dependency,relational database systems,functional dependency,0
echo state network; direction of arrival (doa),echo state network,direction of arrival (doa),3
online analytical processing; data cubes,online analytical processing,data cubes,0
public-key infrastructure; sub-bands,public-key infrastructure,sub-bands,3
energy savings; wsn,energy savings,wsn,1
underwater acoustic communication; orthogonal frequency-division multiplexing (ofdm),underwater acoustic communication,orthogonal frequency-division multiplexing (ofdm),1
queuing networks; queue size,queuing networks,queue size,0
index system; contract,index system,contract,3
multi-input multi-output; machine learnings,multi-input multi-output,machine learnings,3
agent based simulation; biped locomotion,agent based simulation,biped locomotion,3
recurrent neural network; limited energy resource,recurrent neural network,limited energy resource,3
coding scheme; scripting languages,coding scheme,scripting languages,3
computer aided design; computer aided design (cad),computer aided design,computer aided design (cad),2
malware; general-purpose computing,malware,general-purpose computing,3
"numerical optimizations; (e ,3e) process",numerical optimizations,"(e ,3e) process",3
engineering design problems; particle swarm optimisation,engineering design problems,particle swarm optimisation,1
bayesian models; markov chain monte carlo algorithms,bayesian models,markov chain monte carlo algorithms,0
common sense; common-sense computing,common sense,common-sense computing,2
markov chain monte carlo algorithms; heterogeneous wireless sensor networks,markov chain monte carlo algorithms,heterogeneous wireless sensor networks,3
network-on-chip (noc); network-on-chip,network-on-chip (noc),network-on-chip,2
artificial intelligence; nlp,artificial intelligence,nlp,0
boosting; boosting algorithm,boosting,boosting algorithm,2
sequential consistency; sequential machines,sequential consistency,sequential machines,1
pso; particle swarm,pso,particle swarm,2
robot path-planning; robot path planning,robot path-planning,robot path planning,2
buffer circuits; queuing theory,buffer circuits,queuing theory,1
machine-learning; reinforcement learning,machine-learning,reinforcement learning,0
compiler; bist,compiler,bist,3
back-propagation neural network; generative adversarial networks,back-propagation neural network,generative adversarial networks,0
product information model; product information model (pim),product information model,product information model (pim),2
mobile robotics; formation control,mobile robotics,formation control,0
boosting; full band,boosting,full band,3
peer-to-peer networks; p2p streaming,peer-to-peer networks,p2p streaming,0
p2p; peer-to-peer networks,p2p,peer-to-peer networks,2
combinatorial circuits; program understanding,combinatorial circuits,program understanding,3
multiobjective optimisation; particle swarm optimizers,multiobjective optimisation,particle swarm optimizers,0
model-driven architecture; platform specific model,model-driven architecture,platform specific model,0
fault coverage; built in self test,fault coverage,built in self test,1
radar; b2c,radar,b2c,3
acme; architectural language,acme,architectural language,1
public-key cryptosystems; e-commerce,public-key cryptosystems,e-commerce,3
pdb; information storage and retrieval,pdb,information storage and retrieval,1
particle swarm algorithm; global optimization problems,particle swarm algorithm,global optimization problems,0
web personalization; web contents,web personalization,web contents,1
unequal error protection (uep); unequal error protections,unequal error protection (uep),unequal error protections,2
network-on-chip (noc); networks-on-chip,network-on-chip (noc),networks-on-chip,2
probabilistic models; bayesian approaches,probabilistic models,bayesian approaches,1
knowledge reduction; turing machines,knowledge reduction,turing machines,3
computer network; p2p network,computer network,p2p network,0
sensor; cooperative sensing,sensor,cooperative sensing,0
process variations; language model adaptation,process variations,language model adaptation,3
robotic manipulator; agile development,robotic manipulator,agile development,3
software requirements; requirement engineering,software requirements,requirement engineering,1
autonomous underwater vehicles (auv); underwater robots,autonomous underwater vehicles (auv),underwater robots,0
message passing interface; medical image fusion,message passing interface,medical image fusion,3
high refractive index; remelting,high refractive index,remelting,3
attributes reduction; communications systems,attributes reduction,communications systems,3
robotic manipulators; robotic arms,robotic manipulators,robotic arms,0
b splines; cad,b splines,cad,1
disparity maps; embedded technology,disparity maps,embedded technology,3
proportional integral derivative controllers; pi controller,proportional integral derivative controllers,pi controller,1
stochastic game; multi agent system,stochastic game,multi agent system,1
fca; concept lattice,fca,concept lattice,0
peer-to-peer technologies; chord,peer-to-peer technologies,chord,0
bayesian methods; e-books,bayesian methods,e-books,3
proportional integral controllers; service robots,proportional integral controllers,service robots,3
moment methods; data aggregation,moment methods,data aggregation,3
parallel manipulators; media access control (mac),parallel manipulators,media access control (mac),3
bayesian method; gibbs samplers,bayesian method,gibbs samplers,0
context aware services; context-aware services,context aware services,context-aware services,2
smart city; smart energy,smart city,smart energy,0
neural network model; hopfield networks,neural network model,hopfield networks,0
computer network; peer-to-peer (p2p),computer network,peer-to-peer (p2p),0
network-on-chips; noc architectures,network-on-chips,noc architectures,0
sensors; directions of arrival,sensors,directions of arrival,0
peer-to-peer system; peer-to-peer computing,peer-to-peer system,peer-to-peer computing,0
biological networks; sat solvers,biological networks,sat solvers,3
architecture concerns; complexity decreasing,architecture concerns,complexity decreasing,0
user interface; hypertext markup language,user interface,hypertext markup language,0
graphical user interfaces (gui); service robot,graphical user interfaces (gui),service robot,3
linear polarization; fsm,linear polarization,fsm,3
vsm; vector space models,vsm,vector space models,2
architectural knowledge sharing; architecture knowledge management,architectural knowledge sharing,architecture knowledge management,1
man-machine systems; human-machine interface,man-machine systems,human-machine interface,0
concurrent program; sequential consistency,concurrent program,sequential consistency,0
particle swarms; hybrid algorithms,particle swarms,hybrid algorithms,0
classification performances; multiple classifier systems,classification performances,multiple classifier systems,0
architectural pattern; soa,architectural pattern,soa,0
query languages; debuggers,query languages,debuggers,3
requirements engineers; requirement engineering,requirements engineers,requirement engineering,1
computer aided design (cad); computer science,computer aided design (cad),computer science,1
image registration; pdb,image registration,pdb,3
classification methods; computer systems,classification methods,computer systems,1
multilayer perceptrons; artificial neural network,multilayer perceptrons,artificial neural network,1
finite state machine (fsm); channel selection,finite state machine (fsm),channel selection,3
sensor; sensing schemes,sensor,sensing schemes,0
pso algorithms; mutation operations,pso algorithms,mutation operations,0
hypertext markup language (html); css,hypertext markup language (html),css,0
combinatorial auction; pattern recognition,combinatorial auction,pattern recognition,3
architectural pattern; microkernel,architectural pattern,microkernel,0
extensible stylesheet language; extensible markup language (xml),extensible stylesheet language,extensible markup language (xml),1
iptv services; software protection,iptv services,software protection,3
requirements document; extreme learning machine,requirements document,extreme learning machine,3
architectural style; client server,architectural style,client server,0
computer aided design (cad); computer aided design,computer aided design (cad),computer aided design,2
super resolutions; super resolution imaging,super resolutions,super resolution imaging,0
operating systems; linux- operating system,operating systems,linux- operating system,0
ripple carry adders; named entities,ripple carry adders,named entities,3
bpmn; business process modeling notation (bpmn),bpmn,business process modeling notation (bpmn),2
principle component analysis (pca); indoor navigation,principle component analysis (pca),indoor navigation,3
direct torque control; online algorithm,direct torque control,online algorithm,3
semiconductor optical amplifier (soa); semiconductor optical amplifiers,semiconductor optical amplifier (soa),semiconductor optical amplifiers,2
database; database management system,database,database management system,0
cochannel interference (cci); communication channels,cochannel interference (cci),communication channels,1
radio frequency identification device; web data mining,radio frequency identification device,web data mining,3
human robot interactions; human-robot interaction,human robot interactions,human-robot interaction,2
peer-to-peer technologies; p2p system,peer-to-peer technologies,p2p system,2
transform coding; discrete cosine transforms (dct),transform coding,discrete cosine transforms (dct),1
multi-agent system; through silicon vias,multi-agent system,through silicon vias,3
broker; broker pattern,broker,broker pattern,2
bus-based; network-on-chips,bus-based,network-on-chips,1
multiobjective optimisation; evolutionary algorithms,multiobjective optimisation,evolutionary algorithms,1
social network; world wide web,social network,world wide web,1
mde; model driven engineering,mde,model driven engineering,2
gated recurrent unit; artificial neural network,gated recurrent unit,artificial neural network,1
multi-objective optimisation; evolutionary algorithm,multi-objective optimisation,evolutionary algorithm,1
code division multiple access; communication channels,code division multiple access,communication channels,1
case-based reasoning (cbr); case-based reasoning,case-based reasoning (cbr),case-based reasoning,2
architecture notation; osate,architecture notation,osate,0
incremental development; factor graphs,incremental development,factor graphs,3
peer-to-peer (p2p); peer-to-peer technologies,peer-to-peer (p2p),peer-to-peer technologies,2
multiple-path; wsn,multiple-path,wsn,1
frequent item sets; association rules,frequent item sets,association rules,1
natural language processing; synsets,natural language processing,synsets,0
classification performance; nearest neighbor classification,classification performance,nearest neighbor classification,0
learning outcomes; multi-criteria decision analysis,learning outcomes,multi-criteria decision analysis,3
cdma systems; cdma system,cdma systems,cdma system,2
machine-learning; training sample,machine-learning,training sample,0
database management; centrality measures,database management,centrality measures,3
nlp; maximum entropy model,nlp,maximum entropy model,0
image segmentation; lte uplink,image segmentation,lte uplink,3
haptic feedbacks; haptic device,haptic feedbacks,haptic device,1
rbf neural network; radial basis function(rbf),rbf neural network,radial basis function(rbf),2
extreme programming; agile,extreme programming,agile,2
network-induced delays; robot controls,network-induced delays,robot controls,3
centrality measure; centrality measures,centrality measure,centrality measures,2
peer-to-peer technologies; malicious peer,peer-to-peer technologies,malicious peer,0
computer system; classification methods,computer system,classification methods,0
autonomous robot; location information,autonomous robot,location information,3
pso algorithms; evolutionary computation techniques,pso algorithms,evolutionary computation techniques,0
classifier; adaptive boosting,classifier,adaptive boosting,0
alma; machine-learning,alma,machine-learning,3
pso algorithms; hybrid particle swarm optimization algorithm,pso algorithms,hybrid particle swarm optimization algorithm,0
computer systems; computing system,computer systems,computing system,0
nearest neighbor classification; homomorphic encryption,nearest neighbor classification,homomorphic encryption,3
cbam; java,cbam,java,3
business process modelling; understandability,business process modelling,understandability,0
database schemas; database,database schemas,database,1
haptic systems; wordnet,haptic systems,wordnet,3
reverse engineering; architecture recovery,reverse engineering,architecture recovery,2
online algorithm; online system,online algorithm,online system,1
inductive logic programming; model-driven architecture,inductive logic programming,model-driven architecture,3
intra-cluster; grid resources,intra-cluster,grid resources,3
multicast routing protocols; multicast groups,multicast routing protocols,multicast groups,1
smart cities; smart education,smart cities,smart education,0
classification performance; computer systems,classification performance,computer systems,1
pid; pi control,pid,pi control,2
e commerces; combinatorial auction,e commerces,combinatorial auction,0
e-commerce; customer relationship management,e-commerce,customer relationship management,0
classification technique; classification approach,classification technique,classification approach,2
ios; smartphones,ios,smartphones,1
common-sense reasoning; common sense knowledge,common-sense reasoning,common sense knowledge,0
mapreduce; wireless sensor network (wsn),mapreduce,wireless sensor network (wsn),3
robot programming; robotic manipulators,robot programming,robotic manipulators,1
laser range finders; task scheduling problem,laser range finders,task scheduling problem,3
built in self test; embedded memories,built in self test,embedded memories,0
local convergence; particle swarm optimization algorithms,local convergence,particle swarm optimization algorithms,1
engineering design problems; particle swarm optimization algorithms,engineering design problems,particle swarm optimization algorithms,1
multi-robot; noise signals,multi-robot,noise signals,3
content-based image retrievals; content based image retrieval,content-based image retrievals,content based image retrieval,2
p2p networks; peer-to-peer streaming,p2p networks,peer-to-peer streaming,0
computer hardware; architecture activity,computer hardware,architecture activity,3
support vector machines (svms); binary classification,support vector machines (svms),binary classification,0
haptic; haptic interaction,haptic,haptic interaction,0
medium access control (mac); medium access control(mac),medium access control (mac),medium access control(mac),2
web ontology language; semantic technologies,web ontology language,semantic technologies,1
lyapunov stability theory; control system,lyapunov stability theory,control system,1
manipulator; robotic manipulator,manipulator,robotic manipulator,2
data gathering; fuzzy clustering analysis,data gathering,fuzzy clustering analysis,3
multiprocessor systems on chips; network-on-chips,multiprocessor systems on chips,network-on-chips,1
pso algorithm; quantum-behaved particle swarm optimization,pso algorithm,quantum-behaved particle swarm optimization,0
optical sensor; sensor,optical sensor,sensor,1
quality increasing; hypertext transfer protocol (http),quality increasing,hypertext transfer protocol (http),3
architectural tactic; tactics for cyber foraging,architectural tactic,tactics for cyber foraging,0
architectural patterns; architectural style,architectural patterns,architectural style,2
effective refractive index; reverse engineering,effective refractive index,reverse engineering,3
quality properties; quality characteristic,quality properties,quality characteristic,2
computer hardware; field programmable gate array (fpga),computer hardware,field programmable gate array (fpga),0
multicasting; ilp,multicasting,ilp,3
wsn; mobile sensor network,wsn,mobile sensor network,0
queue management; queuing networks,queue management,queuing networks,1
fca; concept lattices,fca,concept lattices,0
user interface; haptic,user interface,haptic,0
bayesian approaches; probabilistic model,bayesian approaches,probabilistic model,0
mimo transmission; stigmergy,mimo transmission,stigmergy,3
embedded linux; multiple mobile robot,embedded linux,multiple mobile robot,3
semantic search engine; long term evolution (lte),semantic search engine,long term evolution (lte),3
haptic systems; haptic sensation,haptic systems,haptic sensation,0
architecture description; architecture notation,architecture description,architecture notation,0
semantic search; semantic search engines,semantic search,semantic search engines,2
public-key infrastructure; fuzzy clusters,public-key infrastructure,fuzzy clusters,3
mobile wireless sensor network; mobile wireless sensor networks,mobile wireless sensor network,mobile wireless sensor networks,2
debuggers; refractive index measurement,debuggers,refractive index measurement,3
internet of thing (iot); architecture types,internet of thing (iot),architecture types,1
design rationales; short signatures,design rationales,short signatures,3
wsn; transmission power,wsn,transmission power,0
human-computer interaction; long term evolution,human-computer interaction,long term evolution,3
particle swarm optimisation; evolutionary computation techniques,particle swarm optimisation,evolutionary computation techniques,0
mde; architecture activity,mde,architecture activity,1
customer behavior; point cloud,customer behavior,point cloud,3
bayesian method; graphical model,bayesian method,graphical model,0
semantic web technology; owl,semantic web technology,owl,0
parallel manipulator; proportional integral derivatives,parallel manipulator,proportional integral derivatives,3
frequent item sets; zero-forcing beamforming,frequent item sets,zero-forcing beamforming,3
rfid; architecture analysis,rfid,architecture analysis,3
model checking; z notation,model checking,z notation,0
biomedical literature; unified medical language system,biomedical literature,unified medical language system,0
least squares support vector machine; least square support vector machine,least squares support vector machine,least square support vector machine,2
haptic device; haptic perception,haptic device,haptic perception,0
parallel manipulators; femto-second laser,parallel manipulators,femto-second laser,3
block codes; cryptology,block codes,cryptology,3
queuing models; queueing model,queuing models,queueing model,2
bayesian framework; bayesian filtering,bayesian framework,bayesian filtering,0
user interface; 3d user interfaces,user interface,3d user interfaces,0
communication channels; multiple-input-multiple-output,communication channels,multiple-input-multiple-output,0
augmentative and alternative communication (aac); users with disabilities,augmentative and alternative communication (aac),users with disabilities,1
multicasting; multiple robot,multicasting,multiple robot,3
sql; structured query language (sql),sql,structured query language (sql),2
quality of experience; waveform design,quality of experience,waveform design,3
pattern recognition; digraphs,pattern recognition,digraphs,3
quality properties; software architectures,quality properties,software architectures,1
machine learning; associative processing,machine learning,associative processing,0
multicast routing; multicasts,multicast routing,multicasts,1
p2p; peer-to-peer file sharing,p2p,peer-to-peer file sharing,0
equivalence relations; query languages,equivalence relations,query languages,3
requirements document; requirement engineering,requirements document,requirement engineering,1
dipole antennas; dipole antenna,dipole antennas,dipole antenna,2
binary classification; support vector machines (svms),binary classification,support vector machines (svms),1
particle swarms; discrete particle swarm optimization algorithm,particle swarms,discrete particle swarm optimization algorithm,0
evaluation index system; evaluation index,evaluation index system,evaluation index,2
e commerces; least mean square algorithms,e commerces,least mean square algorithms,3
platform specific models; platform specific model,platform specific models,platform specific model,2
computer-aided diagnosis (cad); voice over ip (voip),computer-aided diagnosis (cad),voice over ip (voip),3
multicast tree; ip multicast,multicast tree,ip multicast,1
pso algorithms; particle swarm optimization technique,pso algorithms,particle swarm optimization technique,0
wsn; routing algorithm,wsn,routing algorithm,1
reasoning algorithms; reasoning problems,reasoning algorithms,reasoning problems,2
dht; distributed hash tables (dht),dht,distributed hash tables (dht),2
content based image retrieval (cbir); semantic gap,content based image retrieval (cbir),semantic gap,0
autonomous robot; cognitive models,autonomous robot,cognitive models,3
coding schemes; privacy-preserving data mining,coding schemes,privacy-preserving data mining,3
soa; architectural styles,soa,architectural styles,1
fast handovers; manipulators,fast handovers,manipulators,3
electronic services; reasoning tasks,electronic services,reasoning tasks,3
mde; model-driven engineering,mde,model-driven engineering,2
architecture notation; autosar,architecture notation,autosar,0
private keys; public key cryptography,private keys,public key cryptography,1
object oriented programming; discrete cosine transforms (dct),object oriented programming,discrete cosine transforms (dct),3
haptic device; haptic interactions,haptic device,haptic interactions,0
uwb systems; ultra wideband communication systems,uwb systems,ultra wideband communication systems,0
mimo transmission; biological networks,mimo transmission,biological networks,3
system-on-chip; systems on chips,system-on-chip,systems on chips,2
inter-cell interference coordination; long-term evolution,inter-cell interference coordination,long-term evolution,1
transmission control protocol (tcp); transmission control protocol,transmission control protocol (tcp),transmission control protocol,2
content distribution; multicasts,content distribution,multicasts,1
multiprocessor; planning algorithms,multiprocessor,planning algorithms,3
haptic sensation; transmission control protocol (tcp),haptic sensation,transmission control protocol (tcp),3
computer aided design (cad); cad tool,computer aided design (cad),cad tool,0
hierarchical structure; virtual reality,hierarchical structure,virtual reality,3
back-propagation neural network; backpropagation algorithms,back-propagation neural network,backpropagation algorithms,0
multicast algorithms; multicast trees,multicast algorithms,multicast trees,1
communication network; video codecs,communication network,video codecs,3
judgment matrix; genetic database,judgment matrix,genetic database,3
possibilistic c-means; phased array radar,possibilistic c-means,phased array radar,3
telecommunication systems; ambient intelligent,telecommunication systems,ambient intelligent,0
communication aids for disabled; brain computer interface (bci),communication aids for disabled,brain computer interface (bci),1
wireless communication; computer network,wireless communication,computer network,1
space-time block codes; block codes,space-time block codes,block codes,1
commonsense computing; artificial intelligence,commonsense computing,artificial intelligence,1
routing; computer networks,routing,computer networks,1
networked control systems (ncss); networked control system,networked control systems (ncss),networked control system,2
locality preserving projections; finite state machines,locality preserving projections,finite state machines,3
computerized tomography; xml,computerized tomography,xml,3
orthogonal frequency-division multiplexing (ofdm); multiple access scheme,orthogonal frequency-division multiplexing (ofdm),multiple access scheme,0
pipelined adcs; genetic analysis,pipelined adcs,genetic analysis,3
frequent itemset mining; lexical resources,frequent itemset mining,lexical resources,3
clinical decision support system; decision support systems,clinical decision support system,decision support systems,1
p2p systems; blockchain,p2p systems,blockchain,0
c-means; possibilistic c-means,c-means,possibilistic c-means,0
mimo detection; privacy concerns,mimo detection,privacy concerns,3
parallel robot; deontic,parallel robot,deontic,3
customer behavior; position control,customer behavior,position control,3
rdf graph; microstrip devices,rdf graph,microstrip devices,3
ieee 802.11; ieee 802.11s,ieee 802.11,ieee 802.11s,2
moving object; bpel,moving object,bpel,3
brain-computer interfaces (bci); brain-computer interface,brain-computer interfaces (bci),brain-computer interface,2
nsga-ii; long period fiber grating,nsga-ii,long period fiber grating,3
bayesian estimations; bayesian models,bayesian estimations,bayesian models,1
bp network; bp networks,bp network,bp networks,2
connected healthcare; smart cities,connected healthcare,smart cities,1
wireless sensor network (wsn); wsn,wireless sensor network (wsn),wsn,2
user-computer interface; message passing interface (mpi),user-computer interface,message passing interface (mpi),0
decision support system; artificial intelligence,decision support system,artificial intelligence,1
peer-to-peer (p2p); traffic identification,peer-to-peer (p2p),traffic identification,0
surveillance video; surveillance cameras,surveillance video,surveillance cameras,2
natural language processing; information extraction,natural language processing,information extraction,0
routing protocol; attitude control,routing protocol,attitude control,3
incremental development; cdma system,incremental development,cdma system,3
architectural pattern; layered pattern,architectural pattern,layered pattern,0
reasoning problems; reasoner,reasoning problems,reasoner,2
intelligent robots; random walk method,intelligent robots,random walk method,3
ieee 802.11p; vehicular ad hoc network,ieee 802.11p,vehicular ad hoc network,1
queueing model; queueing system,queueing model,queueing system,2
built-in self-test; mining association rules,built-in self-test,mining association rules,3
cellular telephone systems; wireless communication system,cellular telephone systems,wireless communication system,0
artificial intelligence; swarm intelligence,artificial intelligence,swarm intelligence,0
routers; networks on chips,routers,networks on chips,0
pso algorithm; particle swarm optimization algorithm,pso algorithm,particle swarm optimization algorithm,2
speckle filtering; polarimeter,speckle filtering,polarimeter,1
queueing system; queuing systems,queueing system,queuing systems,2
nlp; lexical semantics,nlp,lexical semantics,0
software; dynamic analysis,software,dynamic analysis,0
finite-state machines; head mounted displays,finite-state machines,head mounted displays,3
dijkstras algorithm; dijkstra algorithm,dijkstras algorithm,dijkstra algorithm,2
ds/cdma; radio links,ds/cdma,radio links,1
natural language processing; artificial intelligence,natural language processing,artificial intelligence,1
ltl; frequent itemsets,ltl,frequent itemsets,3
ebooks; act-r,ebooks,act-r,3
ofdm symbols; brain computer interfaces (bcis),ofdm symbols,brain computer interfaces (bcis),3
wireless local area networks; wlan,wireless local area networks,wlan,2
concurrent program; web usage,concurrent program,web usage,3
haptic; haptic interactions,haptic,haptic interactions,0
congestion control (communication); computer networks,congestion control (communication),computer networks,1
cognitive process; multidisciplinary design optimization,cognitive process,multidisciplinary design optimization,3
clustering; knn,clustering,knn,0
component-and-connector; software architecture patterns,component-and-connector,software architecture patterns,1
sensor; vibration measurement,sensor,vibration measurement,0
electronic document exchange; extensible markup language,electronic document exchange,extensible markup language,1
backoff algorithm; backoff algorithms,backoff algorithm,backoff algorithms,2
operating system; computer system recovery,operating system,computer system recovery,0
information retrieval; mimo relay,information retrieval,mimo relay,3
black-box optimization; synthetic aperture radar (sar),black-box optimization,synthetic aperture radar (sar),3
traffic densities; vehicular ad hoc network,traffic densities,vehicular ad hoc network,1
information retrieval systems; database,information retrieval systems,database,1
dynamic spectrum allocation; dynamic spectrum allocations,dynamic spectrum allocation,dynamic spectrum allocations,2
public-key infrastructure; public key infrastructure,public-key infrastructure,public key infrastructure,2
data aggregation; data gathering,data aggregation,data gathering,2
computer science education; reconstructed images,computer science education,reconstructed images,3
artificial neural network; cellular neural networks,artificial neural network,cellular neural networks,0
message passing interface (mpi); computer interface,message passing interface (mpi),computer interface,1
tactile sensor; sensor,tactile sensor,sensor,1
back-propagation neural networks; back propagation algorithm,back-propagation neural networks,back propagation algorithm,0
information analysis; programming theory,information analysis,programming theory,3
meta-heuristic techniques; pso algorithm,meta-heuristic techniques,pso algorithm,1
incentive mechanisms; peer-to-peer technologies,incentive mechanisms,peer-to-peer technologies,1
waterfall; software development projects,waterfall,software development projects,1
optical access network; optical access networks,optical access network,optical access networks,2
east-adl; architecture notation,east-adl,architecture notation,1
interference channels; interference channel,interference channels,interference channel,2
co-channel interference; communication channels,co-channel interference,communication channels,1
built in self test; bist,built in self test,bist,0
human-robot interaction; observability,human-robot interaction,observability,3
limited feedback; superresolution,limited feedback,superresolution,3
